title,special_features,release_year
"CABIN FLASH","Commentaries,Deleted Scenes",2006
"CADDYSHACK JEDI","Commentaries,Deleted Scenes",2006
"CALIFORNIA BIRDS","Trailers,Commentaries,Deleted Scenes",2006
"CAMELOT VACATION","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006
"CANDIDATE PERDITION","Deleted Scenes,Behind the Scenes",2006
"CANDLES GRAPES","Trailers,Deleted Scenes",2006
"CANYON STOCK","Trailers,Deleted Scenes",2006
"CAPER MOTIONS","Trailers,Commentaries,Deleted Scenes",2006
"CARIBBEAN LIBERTY","Commentaries,Deleted Scenes",2006
"CASABLANCA SUPER","Trailers,Deleted Scenes,Behind the Scenes",2006
"CAT CONEHEADS","Commentaries,Deleted Scenes",2006
"CAUSE DATE","Commentaries,Deleted Scenes,Behind the Scenes",2006
"CELEBRITY HORN","Deleted Scenes,Behind the Scenes",2006
"CENTER DINOSAUR","Deleted Scenes",2006
"CHAINSAW UPTOWN","Deleted Scenes,Behind the Scenes",2006
"CHANCE RESURRECTION","Commentaries,Deleted Scenes,Behind the Scenes",2006
"CHARADE DUFFEL","Trailers,Deleted Scenes,Behind the Scenes",2006
"CHARIOTS CONSPIRACY","Deleted Scenes,Behind the Scenes",2006
"CHICAGO NORTH","Deleted Scenes,Behind the Scenes",2006
"CHICKEN HELLFIGHTERS","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006
"CHILL LUCK","Trailers,Commentaries,Deleted Scenes",2006
"CHINATOWN GLADIATOR","Trailers,Commentaries,Deleted Scenes",2006
"CINCINATTI WHISPERER","Deleted Scenes",2006
"CIRCUS YOUTH","Trailers,Deleted Scenes,Behind the Scenes",2006
"CITIZEN SHREK","Commentaries,Deleted Scenes",2006
"CLASH FREDDY","Commentaries,Deleted Scenes",2006
"CLEOPATRA DEVIL","Trailers,Deleted Scenes,Behind the Scenes",2006
"CLOCKWORK PARADISE","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006
"CLUB GRAFFITI","Trailers,Deleted Scenes",2006
"CLUELESS BUCKET","Trailers,Deleted Scenes,Behind the Scenes",2006
"CLYDE THEORY","Commentaries,Deleted Scenes,Behind the Scenes",2006
"COAST RAINBOW","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006
"COLDBLOODED DARLING","Trailers,Deleted Scenes",2006
"COMMANDMENTS EXPRESS","Trailers,Commentaries,Deleted Scenes",2006
"CONEHEADS SMOOCHY","Deleted Scenes,Behind the Scenes",2006
"CONFUSED CANDLES","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006
"CONNECTICUT TRAMP","Commentaries,Deleted Scenes",2006
"CONNECTION MICROCOSMOS","Deleted Scenes,Behind the Scenes",2006
"CONQUERER NUTS","Commentaries,Deleted Scenes,Behind the Scenes",2006
"CORE SUIT","Deleted Scenes",2006
"COWBOY DOOM","Commentaries,Deleted Scenes,Behind the Scenes",2006
"CRAFT OUTFIELD","Deleted Scenes,Behind the Scenes",2006
"CRAZY HOME","Commentaries,Deleted Scenes",2006
"CREATURES SHAKESPEARE","Trailers,Deleted Scenes",2006
"CROOKED FROGMEN","Commentaries,Deleted Scenes,Behind the Scenes",2006
"CROSSING DIVORCE","Commentaries,Deleted Scenes,Behind the Scenes",2006
"CRUELTY UNFORGIVEN","Deleted Scenes,Behind the Scenes",2006
"CURTAIN VIDEOTAPE","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006
"CYCLONE FAMILY","Trailers,Deleted Scenes",2006
