title,film_id,category
"ANNIE IDENTITY",26,Sci-Fi
"ARMAGEDDON LOST",39,Sci-Fi
"ATTACKS HATE",44,Sci-Fi
"BADMAN DAWN",49,Sci-Fi
"BARBARELLA STREETCAR",55,Sci-Fi
"BEVERLY OUTLAW",69,Sci-Fi
"BINGO TALENTED",73,Sci-Fi
"BLINDNESS GUN",81,Sci-Fi
"CAMELOT VACATION",114,Sci-Fi
"CHAINSAW UPTOWN",132,Sci-Fi
"CHARADE DUFFEL",137,Sci-Fi
"CHARIOTS CONSPIRACY",138,Sci-Fi
"CHEAPER CLYDE",140,Sci-Fi
"CINCINATTI WHISPERER",151,Sci-Fi
"CITIZEN SHREK",153,Sci-Fi
"COLDBLOODED DARLING",165,Sci-Fi
"CONNECTICUT TRAMP",177,Sci-Fi
"CROWDS TELEMARK",195,Sci-Fi
"DAISY MENAGERIE",203,Sci-Fi
"DISTURBING SCARFACE",234,Sci-Fi
"DIVIDE MONSTER",235,Sci-Fi
"DOLLS RAGE",240,Sci-Fi
"ENGLISH BULWORTH",285,Sci-Fi
"EXPRESS LONELY",296,Sci-Fi
"EYES DRIVING",298,Sci-Fi
"FIDDLER LOST",312,Sci-Fi
"FISH OPUS",319,Sci-Fi
"FRISCO FORREST",338,Sci-Fi
"GARDEN ISLAND",350,Sci-Fi
"GOLDMINE TYCOON",367,Sci-Fi
"GOODFELLAS SALUTE",369,Sci-Fi
"GRAFFITI LOVE",374,Sci-Fi
"GUYS FALCON",390,Sci-Fi
"HAMLET WISDOM",394,Sci-Fi
"HANKY OCTOBER",397,Sci-Fi
"HOLLOW JEOPARDY",422,Sci-Fi
"IDENTITY LOVER",449,Sci-Fi
"LICENSE WEEKEND",520,Sci-Fi
"MARRIED GO",559,Sci-Fi
"METROPOLIS COMA",572,Sci-Fi
"MOURNING PURPLE",602,Sci-Fi
"NEMO CAMPUS",620,Sci-Fi
"NONE SPIKING",625,Sci-Fi
"OPEN AFRICAN",637,Sci-Fi
"PANTHER REDS",655,Sci-Fi
"RAGING AIRPLANE",711,Sci-Fi
"RANDOM GO",714,Sci-Fi
"REIGN GENTLEMEN",723,Sci-Fi
"SILVERADO GOLDFINGER",798,Sci-Fi
"SOLDIERS EVOLUTION",817,Sci-Fi
"SPIRITED CASUALTIES",831,Sci-Fi
"STALLION SUNDANCE",839,Sci-Fi
"SUICIDES SILENCE",860,Sci-Fi
"SUN CONFESSIONS",863,Sci-Fi
"TITANS JERK",893,Sci-Fi
"TROJAN TOMORROW",912,Sci-Fi
"UNFORGIVEN ZOOLANDER",924,Sci-Fi
"VACATION BOONDOCK",930,Sci-Fi
"WEEKEND PERSONAL",967,Sci-Fi
"WHISPERER GIANT",972,Sci-Fi
"WONDERLAND CHRISTMAS",985,Sci-Fi
