film_id,title,inventory_id
445,"HYDE DOCTOR",2047
440,"HUNGER ROOF",2026
338,"FRISCO FORREST",1545
893,"TITANS JERK",4106
178,"CONNECTION MICROCOSMOS",817
405,"HAUNTED ANTITRUST",1857
105,"BULL SHAWSHANK",478
354,"GHOST GROUNDHOG",1622
667,"PEACH INNOCENT",3043
861,"SUIT WALLS",3947
982,"WOMEN DORADO",4496
375,"GRAIL FRANKENSTEIN",1720
998,"ZHIVAGO CORE",4568
820,"SONS INTERVIEW",3747
286,"ENOUGH RAGING",1295
892,"TITANIC BOONDOCK",4098
388,"GUNFIGHT MOON",1784
805,"SLEEPLESS MONSOON",3680
605,"MULHOLLAND BEAST",2758
191,"CROOKED FROGMEN",871
892,"TITANIC BOONDOCK",4094
862,"SUMMER SCARFACE",3953
902,"TRADING PINOCCHIO",4158
462,"INSIDER ARIZONA",2134
67,"BERETS AGENT",298
542,"LUST LOCK",2474
341,"FROST HEAD",1556
677,"PIANIST OUTFIELD",3082
917,"TUXEDO MILE",4218
300,"FALCON VOLUME",1358
160,"CLUB GRAFFITI",731
114,"CAMELOT VACATION",512
861,"SUIT WALLS",3949
90,"BOULEVARD MOB",407
139,"CHASING FIGHT",643
464,"INTENTIONS EMPIRE",2145
86,"BOOGIE AMELIE",387
251,"DRAGONFLY STRANGERS",1132
189,"CREATURES SHAKESPEARE",857
39,"ARMAGEDDON LOST",177
698,"PRINCESS GIANT",3181
361,"GLEAMING JAWBREAKER",1658
370,"GORGEOUS BINGO",1701
376,"GRAPES FURY",1722
254,"DRIVER ANNIE",1148
798,"SILVERADO GOLDFINGER",3657
189,"CREATURES SHAKESPEARE",858
243,"DOORS PRESIDENT",1094
785,"SHAWSHANK BUBBLE",3591
227,"DETAILS PACKER",1012
912,"TROJAN TOMORROW",4193
19,"AMADEUS HOLY",97
314,"FIGHT JAWBREAKER",1435
606,"MUMMY CREATURES",2764
330,"FORRESTER COMANCHEROS",1512
614,"NAME DETECTIVE",2799
102,"BUBBLE GROSSE",464
581,"MINORITY KISS",2651
869,"SUSPECTS QUILLS",3987
337,"FRIDA SLIPPER",1540
871,"SWEDEN SHINING",3999
17,"ALONE TRIP",81
399,"HAPPINESS UNITED",1838
489,"JUGGLER HARDLY",2266
886,"THEORY MERMAID",4066
820,"SONS INTERVIEW",3751
160,"CLUB GRAFFITI",733
706,"QUEEN LUKE",3212
792,"SHREK LICENSE",3630
220,"DEER VIRGINIAN",986
151,"CINCINATTI WHISPERER",693
80,"BLANKET BEVERLY",364
345,"GABLES METROPOLIS",1574
403,"HARRY IDAHO",1849
773,"SEABISCUIT PUNK",3538
525,"LOATHING LEGALLY",2408
461,"INSECTS STONE",2133
243,"DOORS PRESIDENT",1092
897,"TORQUE BOUND",4130
597,"MOONWALKER FOOL",2721
625,"NONE SPIKING",2855
768,"SCARFACE BANG",3507
2,"ACE GOLDFINGER",9
21,"AMERICAN CIRCUS",106
935,"VANISHED GARDEN",4292
974,"WILD APOLLO",4460
542,"LUST LOCK",2476
127,"CAT CONEHEADS",581
704,"PURE RUNNER",3202
842,"STATE WASTELAND",3844
